	SHNI	SHNN	SHNO	SHNP	SHNS	SHNT	SHNU	SHNW	SHNX	SHNY	SHNZ	SHOA	SHOB	SHOC	SHOF	SHOG
SHNI	0.0	0.751405870188	0.692329932093	0.794310187959	0.705386888999	0.585980794048	0.66304436916	0.395947566827	0.731907496977	0.696400181096	0.774132747193	0.78245771408	0.653655443896	0.752495643889	0.720934843649	0.792827624758
SHNN	0.751405870188	0.0	0.754595082755	0.655036480453	0.455656293671	0.775201502358	0.518366864061	0.694029370385	0.521841317365	0.728262400477	0.606118024615	0.775508170002	0.32381035928	0.769389778312	0.638580642102	0.886809367864
SHNO	0.692329932093	0.754595082755	0.0	0.593118259044	0.732974097392	0.393518321488	0.565460063428	0.711771572846	0.672461854063	0.714961534778	0.671204212246	0.579222720478	0.713466075746	0.627031956717	0.589371784182	0.6610478949
SHNP	0.794310187959	0.655036480453	0.593118259044	0.0	0.607929656446	0.632588687953	0.555993089902	0.72909106544	0.6405552558	0.739216714701	0.528689007533	0.704656163996	0.632054188344	0.669247770271	0.507701881932	0.712629784596
SHNS	0.705386888999	0.455656293671	0.732974097392	0.607929656446	0.0	0.674542163617	0.503975745452	0.650793101359	0.51390324327	0.686436687802	0.616200063081	0.781620072312	0.454874216451	0.731749889231	0.524788157409	0.803610741824
SHNT	0.585980794048	0.775201502358	0.393518321488	0.632588687953	0.674542163617	0.0	0.661375122961	0.617107410446	0.612922508784	0.636886059203	0.678769697063	0.689261501283	0.750540140811	0.550827294498	0.540566888893	0.700066035145
SHNU	0.66304436916	0.518366864061	0.565460063428	0.555993089902	0.503975745452	0.661375122961	0.0	0.682963109224	0.506928946169	0.761895009099	0.442002981852	0.729285081831	0.523970844882	0.793123443559	0.501161579331	0.774775594924
SHNW	0.395947566827	0.694029370385	0.711771572846	0.72909106544	0.650793101359	0.617107410446	0.682963109224	0.0	0.764642144692	0.461173673974	0.787450521423	0.788721983157	0.667387610073	0.57182789544	0.652939470249	0.79867299559
SHNX	0.731907496977	0.521841317365	0.672461854063	0.6405552558	0.51390324327	0.612922508784	0.506928946169	0.764642144692	0.0	0.69660512886	0.469819003015	0.781039284293	0.597193011682	0.694055265218	0.456401359413	0.81616077344
SHNY	0.696400181096	0.728262400477	0.714961534778	0.739216714701	0.686436687802	0.636886059203	0.761895009099	0.461173673974	0.69660512886	0.0	0.773081986707	0.743702567935	0.776963893444	0.494831112315	0.659440589847	0.789392925753
SHNZ	0.774132747193	0.606118024615	0.671204212246	0.528689007533	0.616200063081	0.678769697063	0.442002981852	0.787450521423	0.469819003015	0.773081986707	0.0	0.772495886466	0.697151925165	0.778168435103	0.572967073794	0.802453926656
SHOA	0.78245771408	0.775508170002	0.579222720478	0.704656163996	0.781620072312	0.689261501283	0.729285081831	0.788721983157	0.781039284293	0.743702567935	0.772495886466	0.0	0.708187594554	0.677754030288	0.702574554919	0.305975454363
SHOB	0.653655443896	0.32381035928	0.713466075746	0.632054188344	0.454874216451	0.750540140811	0.523970844882	0.667387610073	0.597193011682	0.776963893444	0.697151925165	0.708187594554	0.0	0.80879915125	0.617893612879	0.831334178504
SHOC	0.752495643889	0.769389778312	0.627031956717	0.669247770271	0.731749889231	0.550827294498	0.793123443559	0.57182789544	0.694055265218	0.494831112315	0.778168435103	0.677754030288	0.80879915125	0.0	0.616094179111	0.724133506739
SHOF	0.720934843649	0.638580642102	0.589371784182	0.507701881932	0.524788157409	0.540566888893	0.501161579331	0.652939470249	0.456401359413	0.659440589847	0.572967073794	0.702574554919	0.617893612879	0.616094179111	0.0	0.711094873306
SHOG	0.792827624758	0.886809367864	0.6610478949	0.712629784596	0.803610741824	0.700066035145	0.774775594924	0.79867299559	0.81616077344	0.789392925753	0.802453926656	0.305975454363	0.831334178504	0.724133506739	0.711094873306	0.0
