#Example_input/otu_table_HostSpecies_rarified.txt
#OTU ID	Megachile_odontostoma	Agapostemon_virescens	Philanthus_gibbosus	Chalybion_californicum	Hoplitis_biscutellae	Paragia_vespiformis	Rediviva_saetigera	Halictus_patellatus	Apis_mellifera	Xylocopa_californica	Diadasia_opuntiae	Colletes_inaequalis	Hesperapis_cockerelli	Caupolicana_yarrowi	Calliopsis_subalpinus	Consensus Lineage
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	Root;Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Propionibacteriaceae;Propionibacterium
4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
17	0	0	1	1	1	0	0	0	0	80	0	1	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
18	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
19	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum
21	0	0	0	6	0	0	0	2	0	2	0	1	0	0	1	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae
26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
27	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Saccharibacter
28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Root;Bacteria
31	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria
33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
35	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium
36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Pelomonas
38	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae
39	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
47	0	0	0	0	0	0	0	0	0	0	75	0	0	32	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
52	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
53	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae
55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangineae;Polyangiaceae
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga
62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae
63	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";Bacillales;Planococcaceae;Pasteuriaceae Incertae Sedis
64	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
70	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
72	0	0	0	2	0	1	0	1	0	0	0	2	0	1	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter
73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae
74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
80	0	50	23	0	0	0	83	0	0	0	0	63	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
81	98	43	73	68	95	81	13	86	0	2	1	27	98	16	91	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
82	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
83	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Zymobacter
84	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Leuconostocaceae";Leuconostoc
85	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Leuconostocaceae";Weissella
87	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Leuconostocaceae";Leuconostoc
90	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
91	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter
92	1	0	2	13	2	9	3	1	0	2	1	2	1	2	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
93	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
94	0	3	1	0	0	0	0	0	0	0	0	0	0	14	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
98	0	0	0	5	0	2	0	0	0	0	0	1	0	0	0	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales
99	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
102	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
104	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus
105	0	0	0	0	1	0	0	1	0	0	1	0	0	19	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
107	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";Bacillales;"Staphylococcaceae";Staphylococcus
