#Example_input/otu_table_rarified.txt
#OTU ID	SHNI	SHNN	SHNO	SHNP	SHNS	SHNT	SHNU	SHNW	SHNX	SHNY	SHNZ	SHOA	SHOB	SHOC	SHOF	SHOG	Consensus Lineage
0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	Root;Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium
7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	16	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
17	0	0	0	1	0	1	2	0	0	0	0	0	80	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
18	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium
21	0	1	0	0	0	0	5	0	0	0	3	1	2	0	3	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Root;Bacteria;Proteobacteria
27	0	0	12	0	0	0	0	0	0	0	0	0	5	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Saccharibacter
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Root;Bacteria
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Aerococcaceae"
31	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	6	Root;Bacteria;Proteobacteria;Gammaproteobacteria
33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
34	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
35	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium
36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Pelomonas
38	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae
39	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	0	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium
47	0	0	31	0	0	0	0	0	0	0	0	0	0	73	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia
51	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
53	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae
59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga
62	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae
70	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
