DNGNGWU00001	ribosomal protein S2
DNGNGWU00002	ribosomal protein S10
DNGNGWU00003	ribosomal protein L1
DNGNGWU00004	translation elongation factor EF-2
DNGNGWU00005	translation initiation factor IF-2
DNGNGWU00006	metalloendopeptidase
DNGNGWU00007	ribosomal protein L22
DNGNGWU00008	ffh signal recognition particle protein
DNGNGWU00009	ribosomal protein L4/L1e
DNGNGWU00010	ribosomal protein L2
DNGNGWU00011	ribosomal protein S9
DNGNGWU00012	ribosomal protein L3
DNGNGWU00013	phenylalanyl-tRNA synthetase beta subunit
DNGNGWU00014	ribosomal protein L14b/L23e
DNGNGWU00015	ribosomal protein S5
DNGNGWU00016	ribosomal protein S19
DNGNGWU00017	ribosomal protein S7
DNGNGWU00018	ribosomal protein L16/L10E
DNGNGWU00019	ribosomal protein S13
DNGNGWU00020	phenylalanyl-tRNA synthetase a subunit
DNGNGWU00021	ribosomal protein L15
DNGNGWU00022	ribosomal protein L25/L23
DNGNGWU00023	ribosomal protein L6
DNGNGWU00024	ribosomal protein L11
DNGNGWU00025	ribosomal protein L5
DNGNGWU00026	ribosomal protein S12/S23
DNGNGWU00027	ribosomal protein L29
DNGNGWU00028	ribosomal protein S3
DNGNGWU00029	ribosomal protein S11
DNGNGWU00030	ribosomal protein L10
DNGNGWU00031	ribosomal protein S8
DNGNGWU00032	tRNA pseudouridine synthase B
DNGNGWU00033	ribosomal protein L18P/L5E
DNGNGWU00034	ribosomal protein S15P/S13e
DNGNGWU00035	Porphobilinogen deaminase
DNGNGWU00036	ribosomal protein S17
DNGNGWU00037	ribosomal protein L13
DNGNGWU00038	phosphoribosylformylglycinamidine cyclo-ligase
DNGNGWU00039	ribonuclease HII
DNGNGWU00040	ribosomal protein L24
